Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 0-10 All,0.016508,0.014267,1.01664501,0.988610042,1.045475,0.055888,0.128553,1.005604446,0.980583391,1.031264,-0.001496,0.001693,0.981033374,0.940237493,1.023599,0.003011,0.001804,1.019764277,0.996594352,1.043473
Age 0-10 Female,0.021552,0.020754,1.021785922,0.981055898,1.064207,0.061882,0.185311,1.006207386,0.97031671,1.043426,-0.003464,0.002438,0.956629414,0.899871104,1.016968,0.003246,0.002621,1.021323158,0.987782705,1.056002
Age 0-10 Male,0.012242,0.018393,1.01231724,0.976472901,1.049477,0.049721,0.166962,1.004984481,0.972629109,1.038416,0.0001,0.002201,1.00128082,0.947490197,1.058125,0.002781,0.002329,1.018240869,0.988472002,1.048906
Age 11-60 All,-0.008328,0.005265,0.991706582,0.981525387,1.001993,-0.060997,0.046591,0.993918865,0.984883877,1.003037,-0.000644,0.000629,0.991790682,0.976262717,1.007566,-0.000502,0.000664,0.996742318,0.988346079,1.00521
Age 11-60 Female,-0.006281,0.006845,0.993738684,0.980495522,1.007161,-0.048847,0.060418,0.995127211,0.983412485,1.006981,-0.000133,0.000818,0.998299048,0.978020758,1.018998,-0.000392,0.000862,0.997455243,0.986561237,1.00847
Age 11-60 Male,-0.010584,0.007186,0.989471813,0.975633222,1.003507,-0.074847,0.063767,0.992543241,0.980215305,1.005026,-0.001211,0.000859,0.984618719,0.963626611,1.006068,-0.000624,0.000906,0.995952214,0.984522586,1.007515
Age 60+All,0.006875,0.008156,1.006898687,0.990930617,1.023124,0.015179,0.070102,1.001519053,0.987852294,1.015375,-0.000441,0.000984,0.994371102,0.970123989,1.019224,0.000614,0.001023,1.003998975,0.990998736,1.01717
Age 60+ Female,0.011115,0.008583,1.011177001,0.994308578,1.028332,0.040954,0.073615,1.004103798,0.989720063,1.018697,-0.000291,0.001038,0.996282128,0.970672505,1.022567,0.001302,0.001075,1.008498912,0.994781166,1.022406
Age 60+ Male,0.000534,0.009178,1.000534143,0.982696574,1.018695,-0.023945,0.079149,0.997608365,0.982251686,1.013205,-0.00066,0.001104,0.991587584,0.964500284,1.019436,-0.000418,0.001154,0.997286688,0.982731873,1.012057
All: LAG 4,0.004619,0.006022,1.004629684,0.992841624,1.016558,-0.036266,0.052051,0.996379968,0.98626658,1.006597,0.000261,0.000726,1.003346387,0.98523697,1.021789,0.000204,0.000759,1.00132688,0.991691052,1.011056
Female,0.005747,0.006557,1.005763546,0.992920459,1.018773,-0.010787,0.056474,0.998921882,0.98792588,1.01004,0.000664,0.000791,1.008535421,0.988718708,1.028749,0.00024,0.000827,1.001561217,0.991064184,1.012169
Male,0.003136,0.006613,1.003140922,0.990222632,1.016228,-0.070409,0.057434,0.992983829,0.981868427,1.004225,-0.000275,0.000796,0.996486188,0.976783696,1.016586,0.000161,0.000833,1.001047048,0.990479688,1.011727
Warm All,0.016059,0.005012,1.016188639,1.006254961,1.02622,0.072981,0.057553,1.007324796,0.996025631,1.018752,0.002385,0.0006,1.030998758,1.015595561,1.046636,0.002479,0.000701,1.016244023,1.007208618,1.02536
Warm Female,0.018759,0.005584,1.018936055,1.007844972,1.030149,0.103235,0.063998,1.010376971,0.997782355,1.023131,0.002608,0.000669,1.033945845,1.016737049,1.051446,0.003031,0.00078,1.019896855,1.009812126,1.030082
Warm Male,0.012463,0.005582,1.012540987,1.001523439,1.02368,0.032745,0.064237,1.003279867,0.990727307,1.015991,0.002086,0.000668,1.02706046,1.009991602,1.044418,0.001747,0.000782,1.011420218,1.00139379,1.021547
Cold All,-0.012878,0.007322,0.987204567,0.973138251,1.001474,-0.094972,0.049248,0.990547756,0.981032385,1.000155,-0.002984,0.000896,0.962525038,0.941129953,0.984407,-0.001815,0.000814,0.988271818,0.978076041,0.998574
Cold Female,-0.0141,0.007841,0.985998939,0.970961598,1.001269,-0.072599,0.052518,0.992766389,0.982599736,1.003038,-0.002288,0.000962,0.971138291,0.947980775,0.994862,-0.002263,0.000873,0.985398156,0.974499259,0.996419
Cold Male,-0.011219,0.007968,0.988843698,0.973520613,1.004408,-0.125239,0.053889,0.987554198,0.977178302,0.99804,-0.003911,0.000971,0.951171592,0.928280575,0.974627,-0.001219,0.000883,0.992107808,0.981009711,1.003331
Age 0-10 All,0.006888,0.014323,1.006911777,0.979037747,1.035579,-0.113096,0.129136,0.988754113,0.964042155,1.0141,0.002383,0.001694,1.030972364,0.988075001,1.075732,-0.000445,0.001829,0.997111679,0.974146126,1.020619
Age 0-10 Female,-0.005137,0.020788,0.994876172,0.95515516,1.036249,-0.267272,0.18565,0.973626811,0.938835877,1.009707,0.001382,0.002454,1.017846988,0.95707229,1.082481,-0.001651,0.002658,0.989325877,0.956385294,1.023401
Age 0-10 Male,0.016552,0.018469,1.016689743,0.980544509,1.054167,0.014825,0.167844,1.001483599,0.969073398,1.034978,0.003215,0.002189,1.042010479,0.986328681,1.100836,0.000518,0.002356,1.003372675,0.973703497,1.033946
Age 11-60 All,-0.000327,0.005261,0.999673053,0.989417829,1.010035,-0.041537,0.046349,0.995854915,0.986849134,1.004943,0.000305,0.000632,1.003911631,0.988119521,1.019956,-0.000168,0.000661,0.998908596,0.990531967,1.007356
Age 11-60 Female,0.000722,0.006832,1.000722261,0.98741119,1.014213,-0.014691,0.060054,0.998531979,0.986847575,1.010355,0.000632,0.00082,1.008122409,0.987595024,1.029076,-0.000315,0.000859,0.997954595,0.987092861,1.008936
Age 11-60 Male,-0.001421,0.007182,0.998580009,0.984621752,1.012736,-0.071228,0.063439,0.992902507,0.98063315,1.005325,-0.000061,0.000864,0.999219505,0.977793446,1.021115,0.000004,0.000901,1.000026,0.988612593,1.011571
Age 60+All,0.007371,0.008141,1.007398233,0.991451389,1.023602,-0.026058,0.069509,0.997397592,0.983901426,1.011079,0.000116,0.000983,1.001485903,0.977089813,1.026491,0.000498,0.001028,1.003242245,0.990188728,1.016468
Age 60+ Female,0.00894,0.008556,1.008980081,0.992200813,1.026043,0.005852,0.072902,1.000585371,0.986389875,1.014985,0.000653,0.001035,1.008393429,0.982546429,1.03492,0.000654,0.001081,1.004260048,0.990524241,1.018186
Age 60+ Male,0.005054,0.00918,1.005066793,0.987144546,1.023314,-0.074176,0.078635,0.992609843,0.977428574,1.008027,-0.000695,0.001106,0.991143452,0.964019913,1.01903,0.000273,0.001158,1.001776075,0.987105437,1.016665
All: LAG 5,-0.00118,0.006056,0.998820696,0.987035019,1.010747,-0.057601,0.052059,0.994256458,0.98416308,1.004453,0.000963,0.000723,1.012402683,0.994204634,1.030934,-0.000541,0.000764,0.996489676,0.986837533,1.006236
Female,-0.001789,0.006592,0.998212599,0.985398334,1.011194,-0.039749,0.056544,0.996032989,0.985055274,1.007133,0.000869,0.000787,1.011185293,0.991415999,1.031349,-0.000598,0.000832,0.996120545,0.985617747,1.006735
Male,-0.000317,0.006656,0.99968305,0.986726125,1.01281,-0.081327,0.057385,0.991900281,0.980806428,1.00312,0.001092,0.000794,1.014075743,0.994075348,1.034479,-0.000454,0.000838,0.99705335,0.986465309,1.007755
Warm All,0.008787,0.004966,1.008825719,0.999054088,1.018693,0.068571,0.056253,1.006880664,0.995840188,1.018044,0.00193,0.000598,1.025011672,1.009748587,1.040505,0.001434,0.000694,1.009364576,1.000479555,1.018329
Warm Female,0.009066,0.005522,1.009107221,0.998244423,1.020088,0.095513,0.062216,1.009597059,0.997360454,1.021984,0.001634,0.000666,1.021135456,1.004215452,1.038341,0.001696,0.00077,1.011084988,1.001214937,1.021052
Warm Male,0.008501,0.005545,1.008537236,0.9976356,1.019558,0.0328,0.06325,1.003285385,0.990924434,1.015801,0.002326,0.000667,1.030220441,1.013124484,1.047605,0.001101,0.000777,1.007182169,0.997261277,1.017202
Cold All,-0.017352,0.007518,0.982797679,0.968422055,0.997387,-0.120281,0.04982,0.988043948,0.978442928,0.997739,-0.000973,0.000895,0.987622835,0.965694102,1.01005,-0.002361,0.000829,0.984770657,0.974424772,0.995226
Cold Female,-0.019453,0.008066,0.980734989,0.965352113,0.996363,-0.109062,0.053376,0.989153057,0.97885878,0.999556,-0.000771,0.00096,0.990179737,0.966616664,1.014317,-0.002789,0.000893,0.982034833,0.970925712,0.993271
Cold Male,-0.01459,0.008164,0.985515918,0.969871743,1.001412,-0.135604,0.054208,0.986531128,0.97610495,0.997069,-0.001239,0.000973,0.984265895,0.96053023,1.008588,-0.001801,0.000897,0.988361754,0.977131266,0.999721
Age 0-10 All,0.005095,0.014339,1.005108002,0.977253258,1.033757,-0.174746,0.128868,0.982677195,0.958167447,1.007814,0.002016,0.001702,1.026140626,0.983246944,1.070906,0.000205,0.001816,1.001333388,0.978432635,1.02477
